item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11
Cucumber,nan,nan,Chips,Canned Soup,Frozen Pizza,Tomato,Salsa,Jam,Nectarines,Milk
Farro,Chicken,Quinoa,Frozen Vegetables,Yogurt,Hot Sauce,Potato,Nuts,Cottage Cheese,Nuts,Frozen Vegetables
Flax Seeds,nan,Yogurt,Tea,Waffles,Water,nan,Zucchini,nan,Blackberries,Blueberries
Ice Cream,nan,Salt,Lemon,Flour,Orange,Fish,Relish,Frozen Dinners,Honeydew,Relish
Zucchini,Lettuce,Salsa,Chips,Water,Beef,nan,Honeydew,Corn,Canned Tomatoes,Strawberries
Canned Soup,nan,nan,Chips,Peanut Butter,Soy Sauce,Waffles,Mustard,Strawberries,Yogurt,Pepper
Cookies,nan,Cornstarch,Powdered Sugar,Radishes,Whipped Cream,Frozen Pizza,nan,nan,Broccoli,nan
Carrot,Lettuce,Peas,Bread,Frozen Fruits,Strawberries,Baking Powder,nan,Couscous,Brown Sugar,Heavy Cream
Frozen Fish,Sour Cream,Eggplant,nan,Quinoa,Salsa,nan,nan,Jam,Orange,Salsa
Jam,Waffles,Celery,Ketchup,Rice,Cereal,Chocolate,Bread,Eggs,Mustard,Flour
Yogurt,Mangoes,Cantaloupe,Pineapple,Pasta,Zucchini,Salt,Olive Oil,Fish,Frozen Fish,Frozen Vegetables
Soy Milk,Peaches,Whipped Cream,Chocolate,Hot Sauce,Avocado,Pickles,Canned Tomatoes,nan,nan,Quinoa
Ketchup,Grapes,Waffles,Frozen Fish,Lime,Onion,Blueberries,Bread,Strawberries,Honeydew,Soy Milk
Blueberries,Maple Syrup,Chia Seeds,Banana,Canned Soup,Water,Pasta,nan,Lentils,Zucchini,Chocolate
Frozen Pizza,Corn,Chili Pepper,nan,Oats,Avocado,Frozen Shrimp,Juice,Cornstarch,Baking Powder,Cottage Cheese
Frozen Shrimp,Blackberries,Heavy Cream,Tea,Frozen Vegetables,Frozen Shrimp,Baking Soda,Lentils,Barley,nan,Peaches
Plums,Banana,nan,Heavy Cream,Couscous,Ketchup,Brussels Sprouts,Lemon,Yogurt,Barley,Bell Pepper
Whipped Cream,Baking Powder,Vinegar,Relish,Relish,Chili Pepper,Flax Seeds,Oats,Chia Seeds,Carrot,Maple Syrup
Avocado,nan,Apple,Waffles,Relish,Carrot,Couscous,nan,nan,Lettuce,Water
Radishes,Juice,Chocolate,Mayonnaise,Soy Milk,Breadcrumbs,Chili Pepper,Beef,Olive Oil,Flax Seeds,Cheese
Tomato,nan,Nectarines,Mushrooms,Flour,Oats,Salsa,Spaghetti Sauce,Ketchup,Chia Seeds,Cheese
Juice,Nuts,Yeast,Mustard,Ketchup,Cereal,Maple Syrup,Frozen Fish,Soy Sauce,Pasta,Water
Canned Tomatoes,Ice Cream,Frozen Fruits,Ice Cream,Kale,nan,Baking Powder,Beef,Corn,Chia Seeds,Frozen Pizza
Salt,Crackers,nan,Canned Tuna,Onion,Green Beans,Apple,nan,Tea,Bell Pepper,Tomato
Water,Raspberries,Flour,Celery,Blackberries,Radishes,Beef,Crackers,Soy Milk,Juice,Potato
Banana,Cauliflower,nan,Beef,nan,Mayonnaise,Lettuce,Baking Soda,Cheese,Almond Milk,Pickles
Grapes,Crackers,Frozen Vegetables,Milk,Vinegar,Corn,Cucumber,Lettuce,Pepper,Lemon,Mustard
Canned Soup,Waffles,Green Beans,Honeydew,Broccoli,nan,Peaches,Cereal,Pasta,Frozen Fish,Barley
Heavy Cream,Corn,Banana,Pickles,Jam,Soy Milk,Flax Seeds,Honeydew,Chili Pepper,Canned Tomatoes,Frozen Fruits
Garlic,Chocolate,Lentils,Kale,nan,Honeydew,Maple Syrup,Spinach,Pasta,nan,Eggs
Ice Cream,Soy Milk,Baking Powder,nan,Pickles,Soda,Flax Seeds,nan,nan,Green Beans,Asparagus
Canned Beans,nan,Eggplant,nan,Bread,Tea,Waffles,Yogurt,Barley,Yogurt,Grapes
Beans,Chia Seeds,Rice,Chicken,Radishes,Maple Syrup,Brussels Sprouts,Barley,Pineapple,Rice,Breadcrumbs
Half and Half,nan,Vinegar,Pepper,Strawberries,Baking Powder,Mushrooms,Cornstarch,Pickles,Nuts,Kale
Yeast,Powdered Sugar,Almond Milk,Barley,Couscous,Spinach,Coffee,Fish,Heavy Cream,Half and Half,Cheese
Celery,nan,Bell Pepper,Lentils,Sugar,Watermelon,Cottage Cheese,Pepper,Chia Seeds,Lettuce,Mangoes
Pears,Orange,Cereal,Milk,Frozen Vegetables,Cauliflower,Tea,Cucumber,Corn,Dried Fruit,Dried Fruit
Onion,Avocado,Crackers,Kale,Pepper,Frozen Dinners,Pasta,Mangoes,Couscous,nan,Vinegar
Honeydew,Cucumber,nan,Farro,Soy Milk,Lemon,Canned Tuna,Baking Soda,Blueberries,Soy Sauce,Eggs
Celery,Waffles,Waffles,Honeydew,Eggplant,Ketchup,Spinach,Frozen Dinners,Frozen Fish,Tomato,Pineapple
Apple,Cereal,Maple Syrup,Lettuce,Mushrooms,Spinach,Grapes,Powdered Sugar,nan,Dried Fruit,Mushrooms
Plums,Relish,Soy Milk,Watermelon,Olive Oil,Cheese,Crackers,Blueberries,Relish,nan,Honey
Nuts,Farro,Raspberries,Ice Cream,Pears,Tomato,Chocolate,Frozen Dinners,Soy Milk,Potato,Dried Fruit
Brussels Sprouts,Whipped Cream,Green Beans,Milk,Maple Syrup,Tea,Pineapple,Flour,Baking Powder,Apple,Grapes
Asparagus,nan,Eggs,nan,Cauliflower,Zucchini,Butter,Chicken,Fish,Radishes,Chicken
Peaches,Bell Pepper,Canned Beans,Radishes,Cornstarch,Butter Milk,Beef,Powdered Sugar,Apple,Frozen Vegetables,Brown Sugar
Milk,Beans,nan,nan,nan,Spinach,Lemon,Juice,Cheese,Broccoli,Plums
Strawberries,Green Beans,Lentils,Rice,Cheese,Garlic,Canned Beans,Bell Pepper,nan,Watermelon,Jam
Pickles,nan,nan,Bread,nan,Cottage Cheese,Fish,Rice,Whipped Cream,Milk,Tomato
Salt,Raspberries,Apple,nan,Honeydew,Soy Sauce,Soy Milk,nan,Frozen Fruits,Jam,Water
Pancake Mix,Potato,nan,Zucchini,Honeydew,Plums,Peas,Cucumber,Frozen Pizza,Chicken,Couscous
Apple,Watermelon,Chia Seeds,Apple,Frozen Dinners,Cornstarch,Blackberries,nan,nan,Broccoli,Mangoes
Blueberries,Milk,Whipped Cream,Tomato,Pasta,Sour Cream,Green Beans,Juice,Watermelon,Dried Fruit,nan
Ice Cream,Raspberries,Yeast,Quinoa,Zucchini,Frozen Pizza,Blackberries,Milk,Banana,nan,Olive Oil
Blueberries,Honey,Tomato,Canned Tuna,nan,Butter Milk,Butter Milk,Frozen Vegetables,Mushrooms,Pasta,Lime
Nectarines,Green Beans,Peaches,Cereal,nan,Brown Sugar,nan,Apple,Farro,Peaches,Watermelon
nan,Frozen Dinners,Celery,Carrot,Plums,Mangoes,Frozen Dinners,Farro,Sour Cream,Yogurt,Eggs
Corn,Soda,Chips,Maple Syrup,Coconut Milk,Lime,Peas,Sour Cream,Milk,Canned Tomatoes,Spaghetti Sauce
nan,Mangoes,Ketchup,Cauliflower,Crackers,Canned Tomatoes,Lettuce,Baking Powder,Heavy Cream,Nectarines,Pickles
Corn,Flax Seeds,Yogurt,Cookies,Pasta,nan,Zucchini,Peas,Juice,Milk,Baking Powder
nan,Carrot,Heavy Cream,Brussels Sprouts,Carrot,Soy Milk,Peas,Baking Powder,Bell Pepper,Canned Tuna,Farro
Apple,Pasta,Honeydew,Heavy Cream,Coconut Milk,Whipped Cream,Mayonnaise,Milk,Cereal,Radishes,Cauliflower
Pickles,Blueberries,Nuts,Chocolate,Jam,Farro,Cauliflower,nan,Chia Seeds,Whipped Cream,nan
nan,Lettuce,Ketchup,Chicken,Pineapple,Water,nan,Jam,Cauliflower,Brown Sugar,Whipped Cream
nan,Ice Cream,Frozen Vegetables,Cauliflower,Pancake Mix,Strawberries,nan,Flax Seeds,Fish,Kale,Cottage Cheese
nan,Dried Fruit,Baking Powder,nan,Chili Pepper,Cheese,Flour,Chicken,Pepper,Carrot,Green Beans
Ketchup,Ketchup,Cottage Cheese,Strawberries,Ketchup,Cookies,Blueberries,Strawberries,Hot Sauce,Milk,Farro
Yeast,Watermelon,Corn,Couscous,Relish,Coconut Milk,nan,nan,Watermelon,Soda,Pancake Mix
Garlic,Couscous,Apple,nan,Orange,Raspberries,Pineapple,nan,Dried Fruit,Ketchup,Chocolate
Nectarines,Couscous,Watermelon,Tea,Cornstarch,Potato,Celery,Lime,Heavy Cream,Sugar,Mushrooms
Raspberries,Beef,Mayonnaise,nan,nan,Mustard,Flax Seeds,Breadcrumbs,Cheese,Chili Pepper,Onion
nan,Apple,Kale,Chicken,Spaghetti Sauce,Canned Soup,Frozen Pizza,Lentils,nan,Butter Milk,Peas
Raspberries,Honey,nan,Tomato,Soy Sauce,Frozen Dinners,Butter,Mushrooms,Powdered Sugar,Quinoa,Cantaloupe
Plums,Whipped Cream,Pasta,Peaches,Frozen Dinners,Plums,Chips,Pepper,Cheese,Oats,Kale
Quinoa,Honeydew,Mushrooms,Garlic,Grapes,Frozen Fruits,Ketchup,Mushrooms,Dried Fruit,nan,Cereal
Cheese,nan,Juice,Tomato,Lemon,Tea,Coconut Milk,Dried Fruit,Baking Soda,Green Beans,nan
nan,Grapes,Beans,Butter,nan,Couscous,Potato,Breadcrumbs,Lemon,Frozen Dinners,Half and Half
Rice,Couscous,Eggplant,Eggplant,Lemon,nan,Jam,nan,Bread,Apple,Oats
Blackberries,Pepper,Lime,Soy Sauce,Honey,Green Beans,Frozen Vegetables,Baking Soda,Soda,Farro,Chicken
nan,Butter,Chicken,Almond Milk,Soy Milk,Ice Cream,nan,nan,Honey,Frozen Dinners,Maple Syrup
Banana,nan,Frozen Fruits,Broccoli,Corn,Heavy Cream,Eggplant,Bell Pepper,Mayonnaise,Corn,Lettuce
Chia Seeds,nan,Frozen Pizza,Honeydew,Blackberries,Waffles,Lentils,Soda,Green Beans,Frozen Fruits,Juice
Almond Milk,Bread,nan,Fish,Celery,Tomato,Zucchini,Asparagus,Jam,Pears,Brussels Sprouts
Jam,Cheese,Cucumber,Yogurt,nan,Barley,Lemon,Mushrooms,Spaghetti Sauce,Breadcrumbs,Soy Milk
nan,Half and Half,Farro,nan,Salsa,Lime,Juice,Potato,Hot Sauce,Coffee,Oats
Mustard,Lettuce,Avocado,Mustard,Peas,Avocado,Mangoes,Brown Sugar,Cantaloupe,Mustard,Chips
Pancake Mix,Banana,Nectarines,Flax Seeds,Hot Sauce,nan,nan,Mustard,nan,Relish,Cheese
nan,Dried Fruit,Chia Seeds,Soy Milk,Breadcrumbs,Orange,Coconut Milk,Ketchup,Ice Cream,nan,Blueberries
Lettuce,Blueberries,Salsa,Green Beans,Baking Soda,Yogurt,Olive Oil,nan,Mustard,Mangoes,nan
Corn,Frozen Vegetables,Ice Cream,nan,Soy Milk,Baking Soda,Farro,Eggplant,Crackers,Flax Seeds,Coffee
Mayonnaise,Relish,Cornstarch,Plums,Bread,Butter,Avocado,Frozen Fish,Lettuce,Bell Pepper,Avocado
Chicken,Lentils,Eggplant,Asparagus,Frozen Fruits,Green Beans,Corn,Almond Milk,Beans,Couscous,Rice
Nectarines,Fish,Pancake Mix,Lemon,Honeydew,Coffee,nan,nan,Salt,Chips,nan
nan,Baking Powder,Cucumber,Spaghetti Sauce,Cookies,Baking Powder,Canned Tomatoes,Breadcrumbs,Half and Half,nan,Beans
Olive Oil,Pepper,Pancake Mix,Frozen Pizza,Baking Soda,Sour Cream,Waffles,Raspberries,Bell Pepper,Radishes,Pasta
Cantaloupe,Mushrooms,Water,Frozen Dinners,Raspberries,Butter,Pears,Watermelon,Celery,Canned Tuna,Potato
Canned Soup,Butter,Whipped Cream,Mustard,Ketchup,Chocolate,Lemon,Cereal,Peanut Butter,Peaches,Milk
Frozen Vegetables,Heavy Cream,Cauliflower,Jam,Couscous,Baking Soda,Eggs,Chocolate,Cereal,Cheese,Chocolate
Broccoli,Heavy Cream,Coffee,nan,nan,Canned Beans,Cucumber,nan,Zucchini,Sour Cream,Potato
Banana,Pineapple,Sour Cream,Fish,Avocado,Pancake Mix,Beef,Breadcrumbs,Chocolate,Oats,Relish
Baking Soda,Lentils,Tomato,Soy Milk,Spinach,Salt,Plums,Bread,Avocado,Peas,Lentils
Frozen Shrimp,Canned Beans,Grapes,Sugar,Juice,Blackberries,Jam,Kale,Jam,Peaches,Plums
Hot Sauce,Lime,Green Beans,nan,nan,Watermelon,Chili Pepper,Kale,nan,Honey,Pickles
Nectarines,Spinach,Peas,Heavy Cream,Jam,Watermelon,Honeydew,Chia Seeds,Lentils,Cookies,Soy Sauce
Potato,Cheese,Lentils,Salsa,Sugar,Jam,Canned Tomatoes,Butter,Frozen Pizza,Couscous,Cereal
Potato,Canned Beans,Carrot,Quinoa,Zucchini,Juice,Oats,Almond Milk,Pickles,Frozen Fruits,Dried Fruit
Canned Tomatoes,Salsa,Honey,Oats,Jam,Chocolate,Beans,Nuts,Chia Seeds,Mangoes,Butter
Frozen Fruits,Carrot,nan,Olive Oil,Frozen Pizza,Coffee,Flax Seeds,Vinegar,nan,Crackers,Hot Sauce
Blackberries,Coconut Milk,Pasta,Garlic,Sugar,Farro,Banana,nan,Butter,Hot Sauce,nan
Crackers,Peanut Butter,Garlic,Frozen Fruits,Canned Tuna,Tea,Flour,Canned Tomatoes,Grapes,Flour,Blackberries
Mushrooms,Yeast,Eggplant,Tea,nan,Cucumber,Heavy Cream,nan,Peanut Butter,Sugar,Canned Tuna
Asparagus,Fish,Peaches,Farro,Lettuce,Sour Cream,Cornstarch,Pickles,nan,Soy Milk,Yogurt
Pancake Mix,nan,Juice,Chicken,Mushrooms,Canned Tuna,Frozen Fish,Baking Powder,Water,Canned Soup,Mustard
Orange,Canned Tuna,nan,Butter,Mangoes,Apple,Mustard,Avocado,Banana,Broccoli,Bread
Mushrooms,Soy Milk,Salt,Frozen Dinners,nan,Broccoli,Blueberries,Nectarines,Chili Pepper,nan,nan
Blueberries,Fish,Jam,Garlic,Cornstarch,Baking Powder,Flax Seeds,Nectarines,Frozen Shrimp,nan,Ketchup
Ice Cream,Chocolate,Strawberries,Yogurt,Rice,Jam,Soda,Frozen Pizza,Onion,Kale,nan
Garlic,Watermelon,Blackberries,Chocolate,nan,Oats,Asparagus,Avocado,Dried Fruit,Cauliflower,Brown Sugar
Milk,Cookies,Honey,Onion,nan,Raspberries,Nuts,Nuts,Jam,Brussels Sprouts,Chicken
Cereal,Powdered Sugar,Pickles,Watermelon,Watermelon,Frozen Pizza,Tea,Bell Pepper,Lime,Ice Cream,Farro
Butter Milk,Celery,Yeast,Jam,Cookies,Kale,Nectarines,Spinach,Potato,Salt,Pepper
Frozen Pizza,Butter,Honeydew,Zucchini,Barley,Frozen Vegetables,Cookies,Canned Tomatoes,Heavy Cream,Dried Fruit,Brussels Sprouts
Honey,Butter Milk,Couscous,Salt,nan,Rice,Water,Broccoli,Oats,Chicken,nan
Nectarines,Quinoa,Canned Tuna,nan,Spaghetti Sauce,Peanut Butter,Celery,Onion,Brussels Sprouts,Mangoes,Pineapple
Zucchini,Soda,Zucchini,Vinegar,Mayonnaise,Brussels Sprouts,nan,Nectarines,Cucumber,Strawberries,Ice Cream
nan,Jam,Heavy Cream,Spinach,Lentils,Canned Tomatoes,Asparagus,Chocolate,Relish,Soda,Mushrooms
nan,Onion,Cauliflower,Baking Powder,Canned Beans,Couscous,Frozen Pizza,Ketchup,Raspberries,Milk,nan
Maple Syrup,Vinegar,Soy Sauce,nan,Banana,Peaches,Onion,Pineapple,nan,Plums,Soy Sauce
Broccoli,Pickles,Celery,Carrot,Green Beans,Lettuce,Barley,Avocado,Lentils,Onion,Honey
Beef,Nectarines,Heavy Cream,Canned Soup,nan,Mustard,Pancake Mix,Beef,Canned Beans,Radishes,Water
Apple,Lentils,nan,Broccoli,Plums,Carrot,Soda,Cantaloupe,Breadcrumbs,nan,Raspberries
Heavy Cream,Relish,Butter,Celery,Barley,Bell Pepper,nan,Brussels Sprouts,Pepper,nan,Salsa
Potato,Mangoes,Chocolate,Cornstarch,Butter Milk,Green Beans,Baking Soda,Spinach,Honey,Butter,Green Beans
Chia Seeds,nan,Juice,Juice,Mangoes,Chips,nan,Canned Tomatoes,Spaghetti Sauce,Mustard,Orange
Frozen Fruits,Frozen Fruits,Pancake Mix,Pancake Mix,Coconut Milk,Orange,Water,Mustard,Pepper,Bell Pepper,Bread
nan,Butter Milk,Canned Soup,Cornstarch,nan,Eggs,Mushrooms,Baking Soda,Mangoes,Barley,Frozen Vegetables
Nectarines,Ketchup,Frozen Pizza,Baking Soda,Whipped Cream,Almond Milk,Cereal,nan,Tomato,Apple,Tomato
Cereal,Soy Milk,Mangoes,Mustard,Peaches,Oats,Lemon,Pasta,Plums,Onion,Apple
Frozen Vegetables,Relish,Jam,Coffee,Lettuce,Flour,Waffles,Mushrooms,nan,Half and Half,Yogurt
nan,Tea,Sugar,Frozen Vegetables,Cauliflower,Garlic,Onion,Celery,Peaches,Orange,nan
Avocado,Maple Syrup,Oats,Honey,Dried Fruit,Tea,nan,Cottage Cheese,nan,nan,Strawberries
Canned Tomatoes,Mangoes,Frozen Fish,nan,nan,Chocolate,Bell Pepper,Powdered Sugar,Butter,Brown Sugar,Cornstarch
Relish,Orange,nan,Chili Pepper,Green Beans,Beans,Vinegar,Salt,Plums,Cucumber,Raspberries
Honeydew,Coconut Milk,Orange,Grapes,nan,Pepper,Juice,Ice Cream,Frozen Shrimp,Nuts,Ketchup
Frozen Pizza,Tea,Cookies,Rice,nan,nan,Cheese,Peas,Bell Pepper,Heavy Cream,Apple
Asparagus,Vinegar,Bread,nan,Pears,Asparagus,Couscous,Pepper,Yeast,Flax Seeds,Corn
Barley,Coconut Milk,Frozen Shrimp,Couscous,Salsa,Celery,Peas,Lime,Bread,Relish,Canned Tuna
Coconut Milk,Brown Sugar,Nuts,Relish,Breadcrumbs,Avocado,Flour,Canned Tuna,nan,Peaches,Cantaloupe
Canned Beans,Eggs,Avocado,Jam,Salt,Spaghetti Sauce,nan,Nectarines,Soy Sauce,Baking Soda,Blackberries
Juice,Mustard,Brown Sugar,Lime,nan,Green Beans,nan,Pears,Maple Syrup,nan,Coconut Milk
Blueberries,Lime,Apple,Chicken,Brussels Sprouts,Bread,Brussels Sprouts,Chicken,Radishes,Ice Cream,Butter
Pepper,Asparagus,Bread,Soy Sauce,Sour Cream,Canned Tomatoes,Apple,Frozen Shrimp,nan,Quinoa,Cottage Cheese
Milk,Pickles,Potato,Blackberries,Frozen Pizza,Watermelon,Spinach,Cheese,Cookies,Crackers,Spinach
Mangoes,Peanut Butter,Quinoa,Yogurt,Cornstarch,Strawberries,Oats,Baking Soda,Barley,Cantaloupe,Quinoa
Pineapple,Lemon,Bread,Peas,Brussels Sprouts,Vinegar,Kale,Tomato,nan,nan,Butter
Coconut Milk,Farro,Couscous,Potato,Beef,Tea,Salt,Mayonnaise,Mushrooms,Green Beans,Banana
Bread,Apple,Breadcrumbs,Oats,Carrot,Avocado,Maple Syrup,Frozen Fish,Zucchini,Cantaloupe,Pancake Mix
Powdered Sugar,nan,Broccoli,Oats,Baking Soda,Couscous,nan,Water,Zucchini,Pears,Pineapple
nan,Radishes,Grapes,nan,Frozen Dinners,Yogurt,nan,Pineapple,Chocolate,Tea,nan
Chips,Ketchup,Beans,Plums,Yeast,nan,nan,Strawberries,Cereal,Honey,Cheese
Pasta,Zucchini,Barley,Potato,Baking Soda,nan,Peaches,Yeast,Chicken,Farro,nan
Lemon,nan,Peaches,Apple,Powdered Sugar,Spinach,Olive Oil,Kale,Frozen Pizza,Chili Pepper,Potato
Soy Milk,Ice Cream,nan,Green Beans,Butter Milk,Frozen Fish,Pickles,Milk,nan,nan,Beans
Pepper,Avocado,nan,Bell Pepper,Mangoes,Lentils,nan,Cereal,Sour Cream,Grapes,nan
Frozen Fish,Pancake Mix,nan,Flax Seeds,Honeydew,Chocolate,Honeydew,Whipped Cream,Ice Cream,nan,Canned Tomatoes
Coconut Milk,nan,Frozen Fruits,nan,Frozen Shrimp,Grapes,Pancake Mix,Zucchini,Vinegar,Cornstarch,Avocado
Avocado,Pepper,Soy Milk,nan,Couscous,Honeydew,nan,Zucchini,Raspberries,Corn,Cottage Cheese
Coffee,Butter Milk,Juice,nan,Ice Cream,Coconut Milk,Nectarines,Sugar,Nectarines,Cereal,Eggplant
Breadcrumbs,Canned Tomatoes,Mangoes,Beef,Canned Soup,Cookies,Flour,Sour Cream,Eggs,nan,nan
Farro,Ice Cream,Zucchini,Mustard,Cornstarch,Beans,Nectarines,nan,Chocolate,Relish,Ketchup
Olive Oil,Mangoes,Baking Soda,Orange,Pineapple,Mangoes,nan,Peas,Watermelon,nan,Barley
Eggplant,Chicken,Cantaloupe,Crackers,Peaches,Beef,Lime,Lentils,Sugar,Celery,Raspberries
Sour Cream,Milk,nan,Peas,Heavy Cream,Frozen Dinners,Juice,Tea,Onion,Barley,nan
