Level,Salary
Entry,37022
Entry,37996
Mid,74642
Entry,37679
Entry,48589
Lead,137453
Lead,130757
Mid,71060
Lead,120301
Lead,136990
Mid,70699
Entry,30190
Lead,137364
Entry,49711
Mid,71816
Junior,50569
Mid,71895
Junior,57455
Junior,66538
Junior,51409
Junior,50784
Entry,37560
Mid,82533
Lead,125801
Junior,55986
Junior,60647
Lead,143355
Junior,69334
Entry,42323
Lead,148691
Entry,42039
Senior,112386
Senior,103121
Mid,86958
Lead,142677
Junior,59907
Junior,65338
Senior,117236
Entry,44599
Lead,142075
Senior,105979
Lead,141606
Senior,111253
Lead,145567
Senior,94142
Mid,76966
Senior,96799
Lead,124465
Senior,103417
Mid,78311
Mid,75177
Junior,58308
Entry,31931
Lead,138048
Junior,66896
Junior,63407
Entry,42775
Lead,136244
Entry,33343
Lead,140454
Lead,135125
Lead,146870
Mid,89531
Junior,51679
Mid,83284
Entry,39435
Lead,131310
Entry,48525
Senior,119124
Senior,101151
Junior,52479
Lead,149222
Senior,119984
Lead,146646
Junior,64069
Lead,122849
Senior,97390
Junior,61922
Junior,59823
Entry,39207
Lead,136364
Senior,117663
Junior,66347
Mid,70851
Senior,96833
Mid,72427
Entry,34000
Lead,122738
Mid,75387
Mid,75536
Junior,67450
Senior,110764
Lead,140491
Junior,52082
Entry,46281
Junior,59817
Junior,58808
Senior,107209
Lead,125745
Lead,131338
Lead,127543
Senior,90728
Lead,143548
Entry,41657
Lead,138888
Mid,86048
Mid,87955
Junior,55104
Lead,132043
Entry,35644
Entry,32914
Entry,43584
Entry,44397
Senior,104191
Entry,47749
Lead,120698
Mid,84512
Senior,106779
Lead,127400
Mid,74171
Entry,32502
Senior,107101
Senior,111330
Junior,55486
Lead,147716
Mid,74491
Entry,41130
Lead,127651
Lead,147798
Entry,31062
Lead,144244
Junior,61174
Junior,59348
Mid,75334
Lead,124330
Mid,76801
Senior,105368
Junior,67337
Senior,97056
Lead,131493
Lead,137575
Junior,69065
Junior,67924
Lead,147812
Mid,83807
Lead,146432
Senior,116256
Entry,31324
Senior,116403
Senior,109870
Mid,76588
Senior,95301
Mid,85485
Mid,74748
Junior,59435
Junior,63116
Entry,40150
Entry,36530
Lead,134683
Entry,31214
Senior,118016
Entry,30823
Entry,35029
Lead,136517
Junior,53627
Lead,142700
Lead,124910
Lead,140559
Lead,148874
Senior,111732
Senior,115826
Mid,83843
Entry,45761
Entry,49760
Entry,39588
Mid,89087
Entry,37114
Senior,91353
Senior,113959
Senior,110852
Junior,63659
Senior,118761
Junior,57483
Junior,50539
Senior,94964
Entry,34835
Mid,84837
Entry,35320
Entry,32779
Lead,147532
Mid,89708
Junior,66639
Lead,138222
Entry,30009
Junior,55124
Entry,32193
Entry,34158
Entry,36970
Mid,83772
Entry,48017
Entry,37266
Entry,30404
Senior,108384
Lead,129860
Mid,87844
Lead,123636
Lead,124809
Junior,63456
Lead,143629
Entry,35997
Entry,42338
Lead,137100
Senior,111949
Entry,34976
Junior,53419
Junior,66633
Junior,60357
Mid,74363
Entry,47461
Senior,98580
Mid,80040
Entry,49198
Lead,126996
Junior,65781
Senior,96881
Junior,58017
Mid,80209
Senior,118920
Entry,39550
Senior,94637
Junior,60320
Lead,124892
Senior,106521
Entry,49216
Senior,112355
Lead,147169
Lead,125569
Lead,126269
Mid,82015
Mid,88290
Entry,37350
Mid,81637
Senior,102647
Senior,99911
Entry,48271
Mid,70666
Lead,137055
Junior,61314
Mid,82891
Junior,53900
Lead,126981
Entry,36376
Senior,108777
Junior,60160
Junior,64124
Mid,80488
Entry,40453
Mid,89262
Lead,124432
Junior,63568
Entry,44178
Lead,142195
Junior,58150
Junior,66748
Junior,54621
Mid,83623
Mid,75126
Mid,88030
Mid,75870
Senior,98172
Junior,57673
Mid,71906
Entry,35750
Lead,130267
Junior,51062
Entry,47680
Junior,66509
Senior,94632
Entry,33596
Senior,96168
Senior,97561
Mid,86616
Lead,145745
Senior,110590
Junior,62910
Entry,36738
Junior,52472
Lead,139123
Junior,65679
Junior,60167
Mid,87260
Lead,148024
Entry,47844
Lead,138117
Senior,101613
Mid,89901
Entry,43046
Mid,72590
Lead,130787
Junior,58659
Senior,118746
Senior,112350
Entry,43917
Mid,75560
Junior,50846
Mid,83703
Junior,63746
Lead,126469
Junior,59333
Senior,116386
Senior,106608
Senior,94208
Senior,119230
Entry,36233
Lead,121917
Mid,76988
Mid,84594
Entry,42977
Junior,66644
Junior,52219
Junior,68444
Junior,51619
Entry,31342
Lead,130568
Entry,49208
Mid,84231
Mid,79310
Entry,47988
Senior,90235
Junior,51908
Mid,75256
Junior,69019
Mid,88944
Senior,95951
Lead,128007
Mid,79064
Lead,142797
Senior,113325
Mid,85524
Lead,139282
Mid,70077
Junior,66984
Lead,137449
Entry,40535
Mid,77804
Entry,34670
Entry,49096
Entry,31248
Junior,68381
Lead,123687
Mid,81302
Mid,78389
Mid,87586
Junior,65374
Lead,125408
Senior,115053
Mid,70419
Lead,130789
Entry,31120
Lead,137334
Entry,35373
Senior,109029
Junior,54612
Mid,88249
Entry,43429
Lead,143710
Senior,96359
Senior,97863
Lead,140103
Lead,147804
Senior,92891
Lead,140609
Mid,86478
Mid,76898
Senior,90793
Mid,72116
Senior,102298
Junior,61111
Junior,60541
Mid,72443
Junior,60380
Junior,67368
Entry,30827
Mid,89915
Senior,94451
Senior,117511
Lead,125959
Junior,58795
Junior,57196
Entry,33797
Mid,83718
Entry,41053
Lead,123476
Junior,51645
Senior,115781
Entry,33072
Mid,72708
Entry,39524
Entry,49891
Entry,34212
Junior,63224
Mid,86920
Junior,60314
Junior,58070
Junior,58666
Junior,53600
Mid,79146
Senior,119434
Mid,87589
Entry,31990
Senior,102997
Lead,142359
Entry,34380
Mid,74757
Junior,60395
Junior,55588
Entry,47350
Entry,43395
Entry,47072
Senior,110085
Senior,111566
Lead,143088
Entry,31759
Lead,129181
Mid,70951
Mid,72079
Lead,147952
Lead,129692
Mid,88449
Entry,35490
Junior,56645
Senior,95232
Junior,61485
Mid,89719
Lead,132342
Mid,83087
Junior,51481
Mid,80093
Junior,69835
Entry,44422
Senior,116399
Junior,69846
Lead,131271
Entry,42600
Mid,84295
Mid,86380
Entry,49694
Lead,126722
Mid,73054
Junior,57970
Mid,82175
Senior,112003
Lead,148853
Lead,141389
Junior,56150
Junior,66032
Lead,140626
Lead,129106
Senior,107692
Senior,110561
Junior,60112
Lead,142419
Mid,74841
Junior,54566
Senior,107939
Lead,120804
Entry,37083
Mid,81093
Senior,119975
Entry,45517
Mid,86086
Entry,33186
Entry,32573
Entry,32599
Junior,58428
Entry,47685
Mid,88925
Senior,113193
Junior,61372
Junior,58996
Mid,75475
Entry,37184
Lead,143525
Junior,62875
Lead,128041
Lead,138458
Entry,45646
Mid,74263
Junior,64060
Entry,45156
Junior,61664
Junior,53028
Senior,119373
Junior,53629
Junior,53067
Mid,89250
Lead,131555
Mid,83081
Lead,144724
Mid,76819
Entry,41046
Mid,87717
Junior,52711
Lead,143863
Entry,37715
Senior,105826
Mid,85850
Entry,42652
Mid,70481
Entry,30153
Junior,51524
Entry,45048
Entry,31240
Lead,129130
Junior,62312
Mid,82418
Junior,51252
Senior,98363
Mid,89933
Junior,68706
Lead,147691
Mid,74090
Entry,33004
Entry,46713
Entry,31341
Mid,75895
Lead,131344
Lead,122421
Entry,41918
Mid,83849
Junior,54806
Entry,42182
Junior,69541
Junior,66774
Lead,144070
Entry,41122
Junior,59018
Lead,126737
Senior,115510
Mid,74497
Mid,89945
Entry,39374
Mid,72667
Senior,114364
Junior,66514
Lead,149866
Junior,62651
Entry,41779
Lead,135317
Entry,37564
Junior,65520
Lead,133737
Senior,105229
Junior,58502
Mid,89625
Junior,54346
Lead,147788
Junior,65775
Mid,77206
Senior,102316
Entry,38436
Senior,102984
Senior,115838
Entry,34361
Entry,33430
Senior,102676
Entry,32050
Lead,121165
Junior,50145
Lead,127832
Entry,44286
Entry,34494
Entry,39155
Senior,100426
Junior,51828
Lead,132260
Mid,74805
Mid,71868
Junior,65512
Senior,119443
Mid,86220
Lead,123564
Junior,57274
Junior,67208
Junior,67320
Entry,40745
Mid,84199
Lead,138180
Entry,43832
Mid,88297
Entry,40106
Junior,68850
Junior,64551
Mid,77906
Lead,127287
Lead,130222
Entry,34675
Lead,131873
Mid,88024
Mid,80874
Senior,107602
Entry,43774
Entry,47338
Junior,57291
Mid,73972
Junior,59105
Lead,147963
Lead,128987
Lead,141452
Entry,35233
Lead,134559
Lead,138546
Junior,51591
Junior,56183
Mid,71312
Mid,88767
Senior,104688
Mid,88088
Lead,120362
Lead,146292
Junior,53738
Senior,112534
Lead,136106
Lead,129017
Entry,46370
Junior,57561
Mid,81700
Junior,68787
Junior,66077
Lead,146588
Senior,90294
Junior,59882
Entry,32064
Junior,62987
Lead,149346
Mid,84749
Junior,59439
Junior,51435
Senior,92382
Lead,125084
Senior,97059
Senior,107649
Senior,119402
Entry,44859
Entry,38073
Entry,41383
Mid,72353
Lead,141195
Senior,115338
Mid,72428
Senior,111510
Lead,145482
Entry,37813
Mid,81801
Junior,63025
Lead,145091
Entry,36540
Entry,46422
Lead,130396
Mid,88207
Junior,63998
Senior,93093
Mid,89280
Senior,118087
Senior,90988
Lead,126446
Lead,148602
Senior,106133
Mid,75626
Entry,42857
Senior,107317
Junior,51980
Mid,89440
Entry,47175
Senior,116385
Senior,108639
Mid,71607
Senior,96573
Entry,35776
Lead,123380
Mid,83997
Junior,56342
Mid,87343
Senior,98884
Senior,110857
Mid,85251
Entry,45069
Entry,43547
Senior,91763
Entry,35797
Entry,35109
Lead,136500
Junior,66967
Mid,74167
Lead,144849
Junior,67773
Mid,78920
Entry,48427
Entry,47162
Mid,83399
Entry,40640
Senior,117512
Senior,106019
Entry,38905
Junior,66385
Entry,44056
Lead,138333
Entry,44451
Junior,67301
Junior,65525
Junior,68093
Junior,66369
Junior,50105
Senior,120000
Mid,76082
Mid,71925
Entry,36917
Entry,30552
Junior,53911
Junior,53389
Senior,103629
Mid,72430
Mid,83395
Senior,101653
Junior,66405
Junior,50894
Mid,74109
Mid,85313
Senior,100326
Senior,117532
Entry,43612
Mid,89811
Lead,138311
Lead,131894
Lead,124790
Mid,80181
Junior,66082
Lead,135711
Entry,46002
Senior,104025
Mid,82732
Lead,136309
Entry,37005
Lead,136542
Junior,50956
Senior,105140
Senior,117355
Senior,93453
Senior,90955
Junior,68096
Mid,74703
Entry,36563
Junior,62003
Junior,61171
Junior,67778
Junior,59461
Lead,149963
Mid,85596
Junior,69342
Entry,49975
Senior,113279
Junior,59131
Junior,50374
Lead,132197
Lead,124648
Senior,119052
Entry,33155
Junior,53814
Entry,32113
Mid,80238
Entry,42588
Mid,89465
Mid,70629
Junior,55724
Junior,61083
Entry,39472
Lead,135635
Mid,80552
Senior,99499
Entry,33178
Lead,139118
Lead,135563
Lead,146928
Entry,39847
Senior,104135
Senior,107774
Senior,107658
Lead,121939
Junior,66001
Entry,44846
Lead,145619
Junior,65360
Mid,80724
Lead,125178
Lead,149856
Entry,31229
Senior,110969
Senior,109124
Junior,51239
Mid,86170
Junior,62504
Junior,65398
Mid,73249
Senior,103605
Senior,96294
Lead,132595
Junior,60985
Senior,94470
Junior,59556
Entry,39206
Lead,127519
Lead,146094
Junior,65552
Junior,65504
Junior,53719
Entry,47370
Entry,33072
Mid,83598
Lead,129519
Lead,146984
Junior,58125
Senior,94033
Junior,67087
Entry,37848
Entry,42975
Lead,147208
Lead,139614
Entry,37114
Senior,118257
Lead,123173
Senior,116213
Mid,73553
Junior,51000
Mid,87772
Mid,73712
Entry,49156
Entry,34806
Lead,132178
Senior,95592
Entry,42592
Entry,44437
Junior,61530
Mid,81207
Junior,52989
Entry,39218
Lead,148441
Junior,60693
Senior,91177
Entry,30011
Lead,136353
Lead,147598
Senior,104051
Mid,86173
Junior,63178
Mid,70406
Mid,79206
Lead,141627
Entry,38906
Mid,82046
Senior,103076
Lead,149141
Mid,84113
Lead,137347
Lead,148211
Mid,79884
Senior,113695
Junior,59873
Junior,62208
Lead,143171
Junior,69914
Senior,105945
Lead,123654
Entry,38636
Junior,59667
Entry,35495
Lead,133673
Mid,85222
Lead,143253
Senior,118552
Junior,54616
Junior,60617
Entry,39852
Junior,56295
Entry,33225
Mid,71316
Senior,102337
Mid,73683
Senior,93273
Entry,30145
Mid,86035
Junior,53040
Junior,66866
Senior,107633
Entry,47014
Lead,136336
Lead,136014
Mid,70987
Mid,79160
Lead,126652
Entry,37421
Entry,30769
Mid,74358
Lead,148305
Mid,81543
Senior,108733
Mid,75699
Junior,51125
Junior,56764
Senior,103031
Lead,132640
Senior,104210
Entry,40106
Entry,47091
Lead,126704
Senior,93713
Senior,100756
Senior,93610
Lead,147399
Junior,58258
Senior,92428
Junior,57426
Junior,69201
Entry,39686
Senior,90661
Senior,118195
Lead,130060
Lead,130526
Entry,30207
Junior,68877
Entry,33083
Entry,43711
Senior,110103
Senior,100754
Lead,127446
Senior,113154
Lead,142483
Senior,108752
Entry,46669
Lead,133395
Junior,54895
Entry,47396
Senior,99715
Junior,66163
Entry,35782
Junior,68792
Lead,122817
Mid,85096
Entry,48880
Mid,75299
Junior,53267
Junior,54406
Mid,80382
Senior,114819
Junior,54107
Entry,42329
Junior,51826
Junior,57629
Mid,77693
Entry,42686
Lead,144226
Junior,69362
Junior,57373
Senior,112481
Junior,55656
Junior,58984
Lead,149984
Senior,98286
Entry,34917
Lead,135795
Mid,72530
Entry,47432
Lead,135476
Junior,65751
Lead,127137
Senior,106920
Senior,97340
Senior,113563
Senior,101916
Senior,112161
Lead,142331
Lead,132330
Junior,55179
Mid,76430
Mid,83828
Mid,80145
Junior,56488
Junior,53850
Junior,63564
Entry,35078
Mid,82168
Mid,75448
Senior,118861
Mid,76406
Senior,98800
Senior,104083
Entry,40340
Senior,99011
Lead,129011
Senior,102411
Junior,65422
Lead,144254
Lead,134818
Mid,71549
Lead,126140
Lead,149181
Junior,56548
Lead,143177
Junior,55542
Lead,147660
Lead,146585
Junior,64828
Lead,136052
Junior,64308
Lead,120671
Senior,98656
Mid,74795
Mid,74798
Lead,138739
Lead,144345
Senior,115121
Senior,94719
Senior,90593
Mid,84056
Lead,146035
Lead,139877
Junior,60636
Entry,30016
Entry,36272
Junior,66955
Lead,129312
Junior,68663
Lead,143835
Mid,87159
Mid,88631
Entry,46462
Entry,37099
Lead,134916
Senior,112614
Lead,129223
Lead,139655
Entry,33456
Lead,148082
Mid,72711
Entry,48052
Senior,112804
Junior,60142
Senior,99866
Senior,102686
Mid,75510
Mid,78964
Junior,59765
Senior,113888
Entry,32376
Junior,61824
Senior,96979
Entry,42504
Junior,56910
Junior,64089
Lead,140131
Senior,95978
Junior,50780
Lead,126303
Senior,119921
Mid,86905
Entry,42232
Entry,34583
Mid,86377
Entry,41889
Senior,92461
Senior,104036
Senior,117935
Mid,70685
Entry,42258
Junior,65990
Entry,34875
Entry,41182
Junior,52196
Lead,127165
Lead,135997
Senior,99951
Mid,80773
Senior,118444
Lead,139921
Junior,62500
Senior,114858
Junior,61870
Mid,83718
Senior,115036
Mid,71724
Entry,38706
Mid,86406
Lead,149725
Senior,99496
Lead,149806
Junior,53727
Entry,46898
Entry,36019
Mid,80047
Junior,61754
Entry,33081
Lead,123967
Mid,81329
Entry,32159
Lead,138931
Senior,104933
Junior,69033
Junior,60805
Senior,116832
Entry,49873
Lead,143928
Senior,109018
Mid,75110
Mid,87508
Junior,52179
Lead,125251
Senior,108313
Mid,71828
Lead,133109
Lead,134537
Senior,118859
Entry,35036
Senior,116896
Senior,93292
Mid,86087
Lead,140815
Junior,56643
Senior,93959
Junior,66029
Junior,64226
Senior,118731
Mid,82080
Mid,82693
Lead,149771
Junior,55093
Lead,131166
Senior,106063
Mid,86044
Senior,95469
Entry,40720
Junior,50830
Senior,107520
Mid,79518
Mid,86184
Senior,111621
Lead,132448
Entry,42485
Senior,107043
Mid,71733
Senior,114650
Entry,42889
Lead,142008
Senior,98329
Junior,64082
Lead,133930
Entry,40077
Lead,122757
Entry,48284
Mid,87833
Mid,75017
Mid,77999
Lead,130195
Entry,45433
Lead,130595
Junior,69715
Junior,69362
Entry,32839
Entry,40851
Entry,43493
Senior,97531
Senior,97736
Senior,103975
Entry,42835
Lead,135261
Senior,94713
Senior,94998
Mid,71974
Senior,98461
Junior,52014
Junior,57896
Lead,136965
Senior,99032
Lead,125347
Mid,72643
Junior,68681
Mid,75560
Lead,134531
Junior,54000
Mid,84289
Mid,71171
Lead,137833
Junior,52539
Entry,48745
Lead,149777
Lead,140054
Junior,68322
Mid,80123
Entry,36588
Entry,36304
Junior,65352
Entry,39879
Lead,120572
Junior,56171
Junior,68474
Entry,41861
Entry,31633
Junior,53648
Junior,63140
Lead,137921
Entry,33137
Junior,50097
Mid,82924
Senior,98535
Senior,94666
Junior,66994
Mid,71854
Entry,35055
Lead,132819
Junior,59283
Senior,95774
Lead,138133
Senior,104939
Mid,76823
Junior,57193
Entry,32113
Entry,43565
Mid,80183
Senior,113648
Junior,59203
Mid,85795
Entry,48810
Junior,55546
Mid,76852
Mid,72551
Senior,118233
Senior,90475
Entry,40403
Lead,127239
Entry,38078
Junior,64889
Senior,119139
Senior,104721
Mid,81116
Mid,70282
Junior,51898
Entry,49584
Lead,134203
Mid,72307
Mid,72591
Entry,45149
Entry,40102
Lead,139988
Lead,143713
Senior,90923
Junior,58438
Mid,78004
Entry,40592
Senior,93864
Senior,119601
Junior,50226
Lead,131739
Lead,136648
Senior,101749
Junior,50645
Mid,86299
Entry,49374
Senior,116475
Entry,40964
Junior,63269
Mid,70587
Senior,116397
Junior,54079
Lead,142683
Junior,68099
Junior,62328
Mid,83230
Junior,55433
Mid,77096
Entry,36980
Senior,108058
Mid,79122
Entry,31089
Mid,79127
Senior,115646
Entry,35779
Senior,112528
Mid,70441
Entry,44478
Lead,126370
Entry,47332
Senior,106013
Senior,106843
Entry,30392
Mid,88171
Lead,143758
Junior,67522
Entry,37418
Mid,72454
Mid,87761
Senior,110980
Mid,83970
Mid,78787
Entry,38472
Junior,64949
Entry,45282
Mid,79641
Mid,75075
Lead,135686
Entry,41002
Senior,103686
Entry,47915
Mid,89374
Senior,94493
Lead,134140
Senior,100704
Entry,36816
Senior,104424
Mid,88146
Entry,30040
Senior,98259
Senior,104849
Entry,37804
Entry,49582
Lead,129277
Entry,48863
Senior,111538
Mid,71492
Lead,137732
Senior,102132
Mid,77851
Entry,37156
Lead,127368
Lead,133635
Mid,79168
Junior,67111
Entry,43319
Lead,120342
Senior,96581
Senior,96317
Entry,42946
Junior,66789
Lead,144370
Senior,119176
Lead,132466
Senior,108230
Senior,90771
Senior,106300
Mid,81093
Senior,90193
Junior,68778
Entry,39984
Entry,36716
Senior,118933
Junior,54378
Mid,89835
Junior,62728
Lead,129836
Entry,38333
Mid,87839
Lead,125808
Lead,141180
Entry,47709
Entry,47543
Mid,74987
Entry,34697
Lead,123828
Entry,47087
Junior,55482
Entry,48184
Lead,124912
Entry,30855
Lead,122866
Mid,86294
Entry,34492
Mid,71517
Mid,87740
Lead,148672
Senior,98210
Senior,102871
Lead,142516
Lead,131531
Lead,123311
Entry,30987
Junior,65812
Entry,43146
Lead,142958
Entry,31875
Junior,63969
Junior,55443
Entry,46977
Lead,121774
Senior,90935
Senior,119808
Entry,46715
Junior,69086
Entry,35889
Lead,140584
Junior,68881
Mid,80058
Lead,149961
Junior,54658
Entry,37544
Senior,107154
Senior,117077
Mid,81777
Lead,120386
Junior,63392
Entry,48850
Mid,71856
Lead,121998
Junior,55476
Lead,124669
Entry,39342
Entry,37446
Entry,37461
Senior,100516
Mid,72658
Lead,144950
Entry,34020
Junior,53259
Senior,100081
Mid,88626
Senior,109627
Entry,33134
Mid,85007
Junior,66378
Entry,31141
Senior,110384
Junior,57835
Lead,136390
Senior,96564
Entry,48990
Senior,95906
Lead,139657
Senior,107297
Senior,107826
Mid,81246
Mid,84730
Entry,41120
Lead,133703
Junior,61951
Senior,116039
Senior,105845
Entry,47438
Senior,95744
Lead,129649
Lead,127069
Mid,74652
Senior,114217
Mid,77597
Mid,76591
Mid,81826
Junior,68693
Mid,87294
Lead,149213
Junior,52169
Lead,142052
Junior,58315
Lead,147734
Senior,90785
Senior,96344
Entry,44973
Senior,91936
Lead,123807
Senior,117716
Lead,135848
Entry,31932
Junior,58556
Lead,125498
Mid,83865
Junior,67823
Lead,144114
Junior,50340
Senior,116132
Senior,90138
Senior,99714
Entry,31627
Lead,143010
Lead,145710
Junior,63283
Mid,76652
Entry,49554
Senior,114401
Entry,41927
Junior,69218
Lead,145574
Lead,138951
Senior,104852
Entry,32660
Senior,116485
Mid,80238
Mid,71140
Junior,51708
Senior,100485
Lead,132021
Mid,86859
Lead,145552
Senior,91960
Junior,65883
Entry,30882
Mid,74761
Senior,95867
Senior,119535
Junior,55347
Mid,83527
Mid,82991
Entry,36642
Junior,53536
Mid,85309
Mid,88354
Senior,99094
Lead,140642
Entry,31863
Senior,97084
Entry,32384
Entry,45072
Mid,77742
Mid,72490
Lead,133324
Lead,146910
Junior,53420
Mid,73906
Junior,62413
Lead,138383
Senior,96337
Entry,45906
Entry,42306
Junior,60503
Junior,54208
Mid,71088
Senior,90024
Lead,142528
Lead,140620
Lead,138619
Entry,41390
Entry,40433
Entry,45743
Senior,98605
Mid,89810
Mid,79101
Senior,118620
Lead,130207
Junior,52092
Lead,138514
Mid,78549
Junior,65271
Entry,42449
Junior,57823
Senior,96465
Junior,67881
Lead,130350
Senior,111793
Mid,72951
Mid,73701
Lead,143782
Lead,148454
Entry,45592
Lead,122828
Lead,143954
Lead,148434
Entry,45061
Entry,46566
Junior,65369
Senior,111959
Senior,115235
Junior,65373
Junior,56555
Senior,98244
Senior,91228
Mid,75590
Junior,59227
Junior,54945
Junior,65998
Mid,77016
Senior,105920
Entry,48268
Junior,68193
Entry,44087
Entry,32437
Lead,135275
Entry,35276
Senior,97818
Entry,49008
Mid,75793
Senior,95571
Senior,106209
Mid,80380
Mid,72224
Senior,101684
Entry,38662
Junior,51948
Entry,42091
Mid,81992
Junior,56318
Lead,132180
Mid,85372
Lead,145504
Senior,90522
Entry,42718
Entry,39821
Entry,42820
Senior,97122
Mid,71316
Junior,63200
Lead,142005
Senior,115599
Entry,31378
Junior,57935
Mid,75355
Entry,39083
Entry,43324
Junior,63411
Junior,65887
Entry,49621
Mid,72005
Entry,40860
Lead,138156
Junior,68135
Senior,104609
Mid,86363
Senior,109604
Senior,104823
Entry,38547
Lead,131515
Mid,84562
Lead,127480
Entry,34213
Junior,52100
Junior,69557
Junior,60197
Entry,37011
Junior,67058
Entry,38578
Entry,33253
Senior,114087
Lead,148842
Entry,31401
Senior,105193
Entry,34214
Senior,101023
Entry,40343
Senior,92745
Senior,93866
Lead,125818
Entry,45493
Lead,149336
Entry,34025
Senior,118472
Senior,103839
Mid,87356
Senior,110786
Entry,48591
Mid,82512
Entry,43767
Lead,131477
Mid,82903
Mid,78680
Lead,147233
Junior,69660
Senior,96614
Senior,115817
Senior,103913
Entry,30630
Lead,146423
Senior,102721
Mid,86661
Entry,39744
Mid,83401
Senior,117846
Junior,61704
Junior,65384
Junior,58652
Lead,142983
Senior,111486
Senior,108378
Mid,71072
Senior,117749
Senior,99784
Entry,33313
Junior,59968
Junior,55939
Entry,44794
Entry,41185
Mid,82001
Lead,141625
Lead,147076
Junior,60541
Lead,131486
Mid,75085
Lead,130759
Senior,90492
Mid,78811
Entry,36474
Lead,134385
Mid,83979
Senior,99797
Entry,44607
Senior,116466
Senior,109127
Mid,85449
Entry,35451
Mid,78548
Entry,37186
Junior,50619
Mid,73642
Lead,148001
Entry,44122
Lead,122895
Junior,67313
Lead,138793
Senior,102782
Entry,42474
Senior,118247
Junior,58277
Senior,102424
Lead,142601
Senior,108020
Senior,93583
Senior,94009
Mid,88601
Senior,94967
Junior,60695
Mid,85514
Entry,34444
Mid,88060
Lead,132297
Senior,113816
Mid,72176
Entry,39171
Senior,90628
Mid,77778
Entry,49149
Entry,42972
Senior,94956
Senior,107076
Mid,71105
Senior,109392
Junior,65417
Junior,64188
Senior,110083
Junior,62602
Mid,79256
Entry,44212
Junior,60593
Lead,146536
Lead,132996
Mid,72871
Mid,87044
Mid,80521
Mid,80642
Lead,120699
Junior,62839
Lead,149076
Senior,101030
Junior,58275
Junior,53180
Lead,148551
Entry,39583
Mid,86998
Senior,101757
Entry,46654
Mid,72468
Entry,45042
Mid,82327
Lead,135523
Junior,64300
Junior,69459
Mid,86673
Entry,36614
Lead,127415
Senior,106662
Lead,136964
Lead,144381
Entry,47208
Lead,123832
Senior,104901
Lead,148472
Junior,63926
Lead,131580
Senior,95634
Mid,80179
Senior,103131
Mid,82707
Entry,48233
Junior,52749
Lead,143064
Mid,86589
Entry,33450
Senior,101814
Lead,144885
Lead,138375
Entry,41834
Junior,53273
Mid,82541
Entry,39168
Mid,73551
Junior,60965
Entry,32832
Senior,112063
Senior,103422
Entry,41156
Lead,122800
Entry,35310
Entry,32610
Senior,91104
Entry,37263
Mid,89456
Junior,50166
Lead,138045
Entry,33664
Junior,63050
Entry,48908
Entry,34357
Senior,99523
Lead,121538
Entry,38752
Senior,108287
Lead,122230
Entry,42112
Mid,79689
Senior,107951
Senior,96033
Entry,34946
Mid,71907
Mid,88919
Junior,67677
Junior,54796
Senior,113255
Mid,89356
Mid,74997
Entry,47376
Entry,35287
Mid,88624
Lead,126426
Lead,135599
Mid,72763
Mid,71481
Entry,33731
Senior,117051
Junior,69477
Mid,80758
Mid,81889
Mid,81442
Junior,54559
Senior,98160
Entry,49581
Lead,146954
Lead,136523
Entry,49333
Entry,40808
Senior,96989
Lead,126261
Mid,89488
Junior,69944
Mid,82253
